,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
676,Brighton Village,https://www.mhvillage.com/parks/388, Livingston ,195,N/A,623,"7500 Grand River Rd., Brighton, MI, 48114",42.54329,-83.78787
677,Hartland Meadows,https://www.mhvillage.com/parks/15965, Livingston ,617,525,624,"13634 W Highland Rd, Hartland, MI, 48353",42.6449,-83.71859
678,Burkhart Ridge,https://www.mhvillage.com/parks/15997, Livingston ,306,480,625,"1011 River Line Drive, Howell, MI, 48843",42.57271,-83.91015
679,Howell Estates,https://www.mhvillage.com/parks/15420, Livingston ,455,N/A,626,"515 Mason Road, Howell, MI, 48843",42.60019,-83.94013
680,Cedar River Estates,https://www.mhvillage.com/parks/15421, Livingston ,118,N/A,627,"400 Cedar River Drive, Fowlerville, MI, 48836",42.66427,-84.0605
681,Alan's Park,https://www.mhvillage.com/parks/374, Shiawassee ,32,N/A,1086,"11785 Lansing Road, Durand, MI, 48429",42.89658,-84.00732
682,Grandshire Estates,https://www.mhvillage.com/parks/15715, Livingston ,151,550,629,"851 Willow Street, Fowlerville, MI, 48836",42.66427,-84.0605
683,Lake Chemung Outdoor Resort,https://www.mhvillage.com/parks/16058, Livingston ,335,150,630,"320 South Hughes Road, Howell, MI, 48843",42.57271,-83.91015
685,Woodland Park & Sales,https://www.mhvillage.com/parks/15415, Livingston ,65,400,632,"8005 West Grand River Avenue, Brighton, MI, 48114",42.5435,-83.78799
686,Fairlawn Meadows,https://www.mhvillage.com/parks/384, Livingston ,48,N/A,633,"1701 Fairlawn Road, Howell, MI, 48843",42.57271,-83.91015
687,Fairlane Estates Mobile Home Park,https://www.mhvillage.com/parks/15418, Livingston ,60,N/A,634,"2195 East Grand River, Howell, MI, 48843",42.57271,-83.91015
688,Starlight Trailer Court,https://www.mhvillage.com/parks/15413, Livingston ,48,N/A,635,"7175 Bishop Road, Brighton, MI, 48116",42.50307,-83.76896
689,Brighton Trailer Court,https://www.mhvillage.com/parks/15422, Livingston ,9,N/A,636,"614 Flint Road, Brighton, MI, 48116",42.50307,-83.76896
690,Red Oaks Of Chemung,https://www.mhvillage.com/parks/16032, Livingston ,N/A,N/A,637,"102 East Grand River Avenue, Howell, MI, 48843",42.57271,-83.91015
691,Waldon Woods Family Recreation Resort,https://www.mhvillage.com/parks/16055, Livingston ,N/A,N/A,638,"2975 North Old Us 23, Howell, MI, 48855",42.6469,-83.75867
692,River's Edge,https://www.mhvillage.com/parks/15046, Macomb ,1000,N/A,654,"38000 Le Chateau Blvd, Clinton Township, MI, 48038",42.57442,-82.96078
693,Shelby Forest,https://www.mhvillage.com/parks/256, Macomb ,664,447,656,"13955 Bronte Drive, Shelby Township, MI, 48315",42.67107,-83.00109
694,Shelby West,https://www.mhvillage.com/parks/15708, Macomb ,644,N/A,657,"12277 Conservation Trail, Shelby Township, MI, 48315",42.67107,-83.00109
